"범죄별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
"계",802639,61428,57951,58361,83199,94852,108553,118578,132955,86762
"절도",180067,11789,13672,12392,21358,26743,28648,25809,19263,20393
"살인",805,56,58,63,78,78,88,102,114,168
"강도",692,80,96,35,64,67,73,65,90,122
"방화",1210,131,131,65,101,120,125,179,223,135
"성폭력",30105,2820,2808,1726,2207,2479,3054,3704,4992,6315
"폭행",143600,16548,14030,8244,10865,11842,14248,20033,30765,17025
"상해",36022,3942,3361,2216,2980,2971,3533,4576,7027,5416
"협박",21814,1247,1030,1357,2326,2403,2841,3374,3376,3860
"공갈",5993,141,129,82,426,554,721,735,541,2664
"약취와유인",223,8,6,9,21,46,50,23,13,47
"체포와감금",1467,94,116,79,145,176,172,164,187,334
"폭력행위등(손괴·강요·주거침입등)",982,71,67,67,132,111,123,101,115,195
"폭력행위등(단체등의구성·활동)",140,17,9,3,10,8,6,13,12,62
"도박과복표",8068,150,94,62,472,415,699,846,759,4571
"과실치사상",2883,108,79,190,410,416,537,381,316,446
"업무상과실치사상",3604,42,93,289,862,671,573,271,124,679
"가정폭력범죄의처벌등에관한특례법",402,9,17,19,50,60,52,57,60,78
"경범죄처벌법",7702,949,806,456,488,578,640,1017,1536,1232
"교통사고처리특례법",184990,4658,5580,19955,27960,32057,35848,36145,19064,3723
"도로교통법",13383,706,679,1307,2000,2174,2473,1792,1502,750
"도로교통법(무면허운전)",21368,856,938,1585,3863,3856,4535,2597,2511,627
"도로교통법(사고후미조치)",11717,970,986,1238,1156,1238,1596,1956,1891,686
"도로교통법(음주운전)",95569,14197,11640,5532,2768,2986,4194,10728,33842,9682
"도로교통법(음주측정거부)",2926,502,403,120,81,87,193,346,859,335
"마약류관리에관한법률(대마)",1790,58,60,33,142,160,242,201,252,642
"마약류관리에관한법률(마약)",1899,9,8,19,396,463,504,64,14,422
"마약류관리에관한법률(향정)",6916,292,195,177,537,525,547,726,639,3278
"성매매알선등행위의처벌에관한법률",3511,205,127,32,128,354,552,644,806,663
"아동·청소년의성보호에관한법률(성매수등)",286,18,9,7,21,16,23,46,32,114
"아동·청소년의성보호에관한법률(성착취물등)",2684,87,59,45,234,120,187,129,228,1595
"특가법(도주차량)",9821,668,665,957,918,1078,1476,1754,1802,503
